Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00574243083162546,5.54009732590054E-09,0.169890254484883,0,0,0,422.822492059331,9.55044189975523,-8.55585388996705E-07,0.740883638540849,22.1577975837696,-2.09095170490729E-07,23.9989027352956,0,0,0,0,0,0,package://navbot/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://navbot/meshes/base_link.STL,,Chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_rear_axle,2.77555756156289E-17,0,7.26920691213685E-17,0,0,0,0.536835352645424,0.00813515260567443,0,1.55401301601405E-21,0.00813515260567443,-9.04327428095806E-21,6.33297955073898E-05,0,0,0,0,0,0,package://navbot/meshes/link_rear_axle.STL,1,1,1,1,0,0,0,0,0,0,package://navbot/meshes/link_rear_axle.STL,,Rear-axle-1,Origin_joint_rear_axle3,Axis_joint_rear_axle3,joint_rear_axle,revolute,-0.215,0,0.05,-1.5708,-0.40054,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
link_rear_left_rim,0.04759900699422,2.77555756156289E-17,0,0,0,0,2.17989779228773,0.00563923087829547,1.40523402635537E-19,3.57695924424167E-19,0.00338250938278668,1.51788304147971E-18,0.00338250938278667,0,0,0,0,0,0,package://navbot/meshes/link_rear_left_rim.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://navbot/meshes/link_rear_left_rim.STL,,Wheel-2,Origin_joint_rear_left_rim3,,joint_rear_left_rim,fixed,0,0,-0.1275,1.3999,1.5708,0,link_rear_axle,0,0,0,,,,,,,,,,,,
link_rear_left_tyre,-5.55111512312578E-17,-1.38777878078145E-17,0.03,0,0,0,0.277425102785401,0.000862580097775627,-5.42101086242752E-20,-1.14800709425822E-19,0.000862580097775628,6.71629079765894E-21,0.00156439289169361,0,0,0,0,0,0,package://navbot/meshes/link_rear_left_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://navbot/meshes/link_rear_left_tyre.STL,,Tyre-2,Origin_joint_rear_left_tyre3,,joint_rear_left_tyre,fixed,0.08,0,0,-1.5708,-0.15555,1.5708,link_rear_left_rim,0,0,0,,,,,,,,,,,,
link_rear_right_rim,0.0475990069942199,0,0,0,0,0,2.17989779228773,0.00563923087829547,5.18143569753106E-20,4.02635771702536E-19,0.00338250938278668,1.73472347597681E-18,0.00338250938278668,0,0,0,0,0,0,package://navbot/meshes/link_rear_right_rim.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://navbot/meshes/link_rear_right_rim.STL,,Wheel-1,Origin_joint_rear_right_rim3,,joint_rear_right_rim,fixed,0,0,0.1275,0.97783,-1.5708,0,link_rear_axle,0,0,0,,,,,,,,,,,,
link_rear_right_tyre,0,2.77555756156289E-17,0.03,0,0,0,0.277425102785401,0.000862580097775628,0,-1.13973500776398E-19,0.000862580097775628,-1.53085782332388E-20,0.00156439289169361,0,0,0,0,0,0,package://navbot/meshes/link_rear_right_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://navbot/meshes/link_rear_right_tyre.STL,,Tyre-6,Origin_joint_rear_right_tyre3,,joint_rear_right_tyre,fixed,0.02,0,0,-1.5708,0.074591,-1.5708,link_rear_right_rim,0,0,0,,,,,,,,,,,,
link_front_left_axle,1.10891879540054E-07,0.125024005469989,-0.0107604411422391,0,0,0,0.49495776580367,0.0039900101683786,-1.2390557473812E-10,-4.2801510396367E-11,0.000358959536469292,-0.000559352144239239,0.00372216577421488,0,0,0,0,0,0,package://navbot/meshes/link_front_left_axle.STL,1,1,1,1,0,0,0,0,0,0,package://navbot/meshes/link_front_left_axle.STL,,Front-axle-1,Origin_joint_front_left_axle3,Axis_joint_front_left_axle3,joint_front_left_axle,revolute,0.215,0.12,0.03,1.5708,0,-0.052539,base_link,0,1,0,0,0,0,0,,,,,,,,
link_front_left_rim,0.04759900699422,-5.55111512312578E-17,1.38777878078145E-17,0,0,0,2.17989779228773,0.00563923087829547,4.87890977618477E-19,-4.06575814682064E-20,0.00338250938278667,9.2877162666434E-19,0.00338250938278668,0,0,0,0,0,0,package://navbot/meshes/link_front_left_rim.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://navbot/meshes/link_front_left_rim.STL,,Wheel-4,Origin_joint_front_left_rim3,,joint_front_left_rim,fixed,0,0.02,-0.0075,0,1.5708,2.6779,link_front_left_axle,0,0,0,,,,,,,,,,,,
link_front_left_tyre,2.77555756156289E-17,-2.77555756156289E-17,0.03,0,0,0,0.277425102785401,0.000862580097775627,9.01031297641762E-20,8.94466792300541E-19,0.000862580097775627,-8.48727013148809E-19,0.00156439289169361,0,0,0,0,0,0,package://navbot/meshes/link_front_left_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://navbot/meshes/link_front_left_tyre.STL,,Tyre-3,Origin_joint_front_left_tyre3,,joint_front_left_tyre,fixed,0.08,0,0,-1.5708,-1.2338,1.5708,link_front_left_rim,0,0,0,,,,,,,,,,,,
link_front_right_axle,2.59269704983023E-07,0.125024021675921,-0.010760430046453,0,0,0,0.494957686734281,0.00399001010542706,2.58863452849418E-10,5.00785754858001E-11,0.000358959532065348,-0.000559352107853414,0.00372216571421861,0,0,0,0,0,0,package://navbot/meshes/link_front_right_axle.STL,1,1,1,1,0,0,0,0,0,0,package://navbot/meshes/link_front_right_axle.STL,,Front-axle-2,Origin_joint_front_right_axle3,Axis_joint_front_right_axle3,joint_front_right_axle,revolute,0.215,-0.12,0.03,1.5708,0,-3.1269,base_link,0,1,0,0,0,0,0,,,,,,,,
